AC_REG,Year,Quarter,Month,Day,ENTRY_DATE,Year,Quarter,Month,Day,FLT_NO,Year,Quarter,Month,Day,IN_HRS,IN_MNT,LNDGS,Year,Quarter,Month,Day,OFF_HRS,OFF_MNT,Year,Quarter,Month,Day,ON_HRS,ON_MNT,OPS_CODE,OPS_DATE,Year,Quarter,Month,Day,OUT_HRS,OUT_MNT,STN_FROM,STN_TO,TYPE_CODE,USER_ID
AUR,1899,Qtr 4,December,31,20020112,1899,Qtr 4,December,31,615,1899,Qtr 4,December,31,15,39,1,1899,Qtr 4,December,31,14,40,1899,Qtr 4,December,31,15,35,REV,20020111,1899,Qtr 4,December,31,14,30,ISB,LHE,D,DL29
AUR,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,662,1899,Qtr 4,December,31,5,24,1,1899,Qtr 4,December,31,4,39,1899,Qtr 4,December,31,5,19,REV,20020105,1899,Qtr 4,December,31,4,29,PEW,CJL,D,DL28
AUR,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,663,1899,Qtr 4,December,31,6,40,1,1899,Qtr 4,December,31,5,54,1899,Qtr 4,December,31,6,35,REV,20020105,1899,Qtr 4,December,31,5,44,CJL,PEW,D,DL28
AUR,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,680,1899,Qtr 4,December,31,11,9,1,1899,Qtr 4,December,31,10,11,1899,Qtr 4,December,31,11,4,REV,20020106,1899,Qtr 4,December,31,10,3,ISB,LHE,D,DL05
AUR,1899,Qtr 4,December,31,20020104,1899,Qtr 4,December,31,680,1899,Qtr 4,December,31,11,19,1,1899,Qtr 4,December,31,10,17,1899,Qtr 4,December,31,11,13,REV,20020103,1899,Qtr 4,December,31,10,10,ISB,LHE,D,DL28
AUR,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,680,1899,Qtr 4,December,31,13,5,1,1899,Qtr 4,December,31,11,57,1899,Qtr 4,December,31,13,1,REV,20020106,1899,Qtr 4,December,31,11,43,LHE,MUX,D,DL05
AUR,1899,Qtr 4,December,31,20020104,1899,Qtr 4,December,31,680,1899,Qtr 4,December,31,12,25,0,1899,Qtr 4,December,31,0,0,1899,Qtr 4,December,31,0,0,TXI,20020103,1899,Qtr 4,December,31,12,10,LHE,LHE,,DL28
AUR,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,681,1899,Qtr 4,December,31,16,20,1,1899,Qtr 4,December,31,15,29,1899,Qtr 4,December,31,16,16,REV,20020106,1899,Qtr 4,December,31,15,13,LHE,ISB,D,DL05
AUR,1899,Qtr 4,December,31,20020106,1899,Qtr 4,December,31,681,1899,Qtr 4,December,31,14,46,1,1899,Qtr 4,December,31,13,38,1899,Qtr 4,December,31,14,39,REV,20020106,1899,Qtr 4,December,31,13,30,MUX,LHE,D,DL05
AUR,1899,Qtr 4,December,31,20020104,1899,Qtr 4,December,31,681,1899,Qtr 4,December,31,15,35,0,1899,Qtr 4,December,31,0,0,1899,Qtr 4,December,31,0,0,TXI,20020103,1899,Qtr 4,December,31,15,3,LHE,LHE,,DL28
AUR,1899,Qtr 4,December,31,40040213,1899,Qtr 4,December,31,682,1899,Qtr 4,December,31,6,105,2,1899,Qtr 4,December,31,6,41,1899,Qtr 4,December,31,6,95,REV,40040212,1899,Qtr 4,December,31,6,30,ISB,PEW,D,DL28
AUR,1899,Qtr 4,December,31,40040213,1899,Qtr 4,December,31,683,1899,Qtr 4,December,31,33,89,2,1899,Qtr 4,December,31,32,70,1899,Qtr 4,December,31,33,80,REV,40040212,1899,Qtr 4,December,31,32,55,PEW,ISB,D,DL28
